!SIL SIL
<NOISE> SIL
<SPOKEN_NOISE> SIL
<unk> SIL
A	ei
變成    z iann z or
變更	b ien g ng
變更     uann
讎	ch ou
讒	ch an
讓	rh ang
讓    l iah
讓    n iu
讓    s u
讕	l an
讖	ch ern
讚	z an
讚    z an
讜	d ang
讞	ien
谷	g u
谿	s i
豁	h uo
豆	d ou
豆干    d au g uann
豆漿    d au l ing
豆腐    d au h u
豇	z iang
豈	c i
豈    g am
豉	ch ii
豋	d ng
豌	uan
豎	sh u
豐	f ng
豐富	f ng f u
豐富    c enn c au
豐滿    h ong bh uan
豚	t un
象	s iang
象    c iunn
象徵	s iang zh ng
豢	h uan
豪	h au
豪華	h au h ua
豫	yu
豬	zh u
豬    d i
豬肉    d i bh ah
豬腳    d i k a
豳	b in
豸	zh ii
豹	b au
豺	ch ai
貂	d iau
貅	s iou
貉	h er
貊	m uo
貌	m au
貍	l i
貓	m au
貓    n iau
貓    n iau  a
貓頭鷹    n iau t au z iau
貔	p i
貝	b ei
貞	zh ern
負	f u
負擔	f u d an
負擔    d ann t au
負責	f u z er
負責    h u z ik
負責人	f u z er rh ern
負面	f u m ien
財	c ai
財務	c ai u
財團	c ai t uan
財富	c ai f u
財政	c ai zh ng
財產	c ai ch an
貢	g ong
貢獻	g ong s ien
貧	p in
貧僧    b in z ing
貧窮    s an c iah
貧窮    s an z iah
貨	h uo
貨    h ue
貨幣	h uo b i
販	f an
貪	t an
貫	g uan
責	z er
責任	z er rh ern
責任    z ik r im
貯	zh u
貲	z ii
貳	err
貴	g uei
貴    g ui
貶	b ien
買	m ai
買    bh e
買到	m ai d au
買賣	m ai m ai
買賣    g au g uan
買賣    s ing l i
貸	d ai
貸款	d ai k uan
費	f ei
費    h ui
費用	f ei iong
貼	t ie
貼    d ah
貼    g o
貼心	t ie s in
貽	i
貿	m au
貿易	m au i
賀	h er
賁	b ern
賁	b i
賂	l u
賃	l in
賄	h uei
賅	g ai
資	z ii
資料	z ii l iau
資料    z u l iau
資料庫	z ii l iau k u
資本	z ii b ern
資格	z ii g er
資格    z u g eh
資深	z ii sh ern
資源	z ii yuan
資產	z ii ch an
資訊	z ii s yun
資金	z ii z in
賈	g u
賈	z ia
賊	z ei
賑	zh ern
賒	sh er
賓	b in
賓館	b in g uan
賚	l ai
賜	s ii
賞	sh ang
賠	p ei
賠償	p ei ch ang
賡	g ng
賢	s ien
賢    h en
賢弟    h en d e
賣	m ai
賣    bh e
賤	z ien
賦	f u
質	zh ii
質感	zh ii g an
質疑	zh ii i
質量	zh ii l iang
賬	zh ang
賭	d u
賭    b uah
賭    d o
賴	l ai
賺	zh uan
賺    t an
賺錢	zh uan c ien
賺錢    t an z inn
購	g ou
購物	g ou u
購買	g ou m ai
賽	s ai
賽事	s ai sh ii
賽跑    z au s ior r iok
賾	z er
贄	zh ii
贅	zh uei
贇	yun
贈	z ng
贊	z an
贊助	z an zh u
贍	sh an
贏	ing
贏     iann
贏得	ing d er
贓	z ang
贖	sh u
贗	ien
贛	g an
赤	ch ii
赦	sh er
赧	n an
赫	h er
赭	zh er
走	z ou
走    g iann
走出	z ou ch u
走到	z ou d au
走向	z ou s iang
走路	z ou l u
走路    g iann l o
走進	z ou z in
赳	z iou
赴	f u
起	c i
起    k i
起來	z in s ing
起床	c i ch uang
起床    k i l ai
趁	ch ern
趁    t an
趄	z yu
超	ch au
超值	ch au zh ii
超級	ch au z i
超級    c iau g ip
超越	ch au yue
超過	ch au g uo
超過    c iau g ue
超過    g ue t au
越	yue
越    r u
越來越	yue l ai yue
越南	yue n an
趕	g an
趕    g uann
趕快	g an k uai
趕快    g uann g in
趕緊	g an z in
趙	zh au
趟	t ang
趟    z ua
趣	c yu
趨	c yu
趨勢	c yu sh ii
足	z u
足    g au
足以	z u i
足夠	z u g ou
足球	z u c iou
趴	p a
趺	f u
趼	z ien
趾	zh ii
跆	t ai
跋	b a
跌	d ie
跌    b uah
跎	t uo
跑	p au
跑    p au
跑    z au
跑    z ong
跑去	p au c yu
跖	zh ii
跗	f u
跚	sh an
跛	b uo
距	z yu
距離	z yu l i
距離    l i
跟	g ern
跟    c am
跟    d ue
跟    h am
跟    s ui
跟著	g ern zh er
跡	z i
跡    r iah
跣	s ien
跤	z iau
跨	k ua
跩	zh uai
跪	g uei
跫	c iong
路	l u
路    l o
路上	l u sh ang
路線	l u s ien
路邊    l o b inn
跳	t iau
跳    t iau
跳舞    t iau bh u
跺	d uo
跼	z yu
踅	ch ii
踅	s yue
踅    s eh
踉	l ang
踏	t a
踐	z ien
踝	h uai
踞	z yu
踟	ch ii
踡	c yuan
踢	t i
踢    t at
踩	c ai
踩    d ah
踫	p ng
踮	d ien
踰	yu
踱	d uo
踴	iong
踵	zh ong
踹	ch uai
踽	z yu
蹁	p ien
蹂	rh ou
蹄	t i
蹇	z ien
蹈	d au
蹉	c uo
蹊	s i
蹋	t a
蹌	c iang
蹓	l iou
蹙	c u
蹚	t ang
蹟	z i
蹠	zh ii
蹣	m an
蹣	p an
蹤	z ong
蹦	b ng
蹩	b ie
蹬	d ng
蹭	c ng
蹲	d un
蹴	c u
蹶	z yue
蹺	c iau
蹼	p u
躁	z au
躂	t a
躅	zh u
躇	ch u
躉	d un
躊	ch ou
躋	z i
躍	yue
躑	zh ii
躓	zh ii
躕	ch u
躚	s ien
躡	n ie
躥	c uan
躪	l in
身	sh ern
身    s in
身上	sh ern sh ang
身上    s in k u d ing
身份	sh ern f ern
身分	sh ern f ern
身心	sh ern s in
身材	sh ern c ai
身為	sh ern uei
身邊	sh ern b ien
身邊    s in b inn
身邊    s in k u b inn
身體	sh ern t i
身體    s in k u
身體    s in t e
躬	g ong
躲	d uo
躲    bh ih
躺	t ang
軀	c yu
車	ch er
車    c ia
車子	ch er z ii
車禍    c ia h or
車站	ch er zh an
車路    c ia l o
車輛	ch er l iang
軋	ia
軌	g uei
軍	z yun
軍事	z yun sh ii
軍隊	z yun d uei
軒	s yuan
軔	rh ern
軛	er
軟	rh uan
軟    n ng
軟件	rh uan z ien
軟體	rh uan t i
軫	zh ern
軸	zh ou
軻	k er
軼	i
軾	sh ii
較	z iau
較    k ah
較為	z iau uei
載	z ai
載    z ai
輊	zh ii
輒	zh er
輓	uan
輔	f u
輔助	f u zh u
輔導	f u d au
輕	c ing
輕    k in
輕易	c ing i
輕輕	c ing c ing
輕輕的    k in k in  a
輕鬆	c ing s ong
輕鬆    k in s ang
輛	l iang
輜	z ii
輝	h uei
輞	uang
輟	ch uo
輥	g un
輦	n ien
輩	b ei
輪	l un
輪流    l un l iu
輯	z i
輸	sh u
輸    s u
輸入	sh u rh u
輸出	sh u ch u
輸贏    s u  iann
輻	f u
輾	n ien
輾	zh an
輿	yu
轂	g u
轄	s ia
轅	yuan
轆	l u
轉	zh uan
轉     uat
轉    d ng
轉    s eh
轉寄	zh uan z i
轉換	zh uan h uan
轉移	zh uan i
轉變	zh uan b ien
轉載	zh uan z ai
轍	ch er
轎	z iau
轎    g ior
轔	l in
轟	h ong
轟動    h ong d ong
轢	l i
辛	s in
辛苦	s in k u
辛苦    s in k o
辜	g u
辟	b i
辣	l a
辣妹	l a m ei
辦	b an
辦    b an
辦公室	b an g ong sh ii
辦公室    b an g ong s ik
辦法	b an f a
辦法    b an h uat
辦法    h uat d o
辦理	b an l i
辨	b ien
辭	c ii
辮	b ien
辯	b ien
辰	ch ern
辱	rh u
農	n ong
農場	n ong ch ang
農夫    z orh s it l ang
農曆    g u l ik
農村    l ong c un
農業	n ong ie
農業    l ong gh iap
農民	n ong m in
迂	yu
迄	c i
迅	s yun
迅速	s yun s u
迎	ing
迎    ng ia
迎接	ing z ie
近	z in
近     ua
近    g in
近年	z in n ien
近日	z in rh ii
近期	z in c i
返	f an
返回	f an h uei
迕	u
迢	t iau
迤	i
迥	z iong
迦	z ia
迪	d i
迫	p uo
迭	d ie
述	sh u
迴	h uei
迴響	h uei s iang
迷	m i
迷人	m i rh ern
迷人    bh e l ang
迷你	m i n i
迸	b ng
迺	n ai
迻	i
追	zh uei
追    r iok
追求	zh uei c iou
追蹤	zh uei z ong
退	t uei
退休	t uei s iou
退休    t e h iu
送	s ong
送    s ang
送給	s ong g ei
逃	t au
逅	h ou
逆	n i
逋	b u
逍	s iau
逍遙    s iau  iau
透	t ou
透    t ang
透    t au
透明	t ou m ing
透過	t ou g uo
透露	t ou l u
逐	zh u
逐    r iok
逐漸	zh u z ien
逐漸    z iam z iam
逑	c iou
途	t u
逕	z ing
逖	t i
逗	d ou
這	zh er
這    z e
這    z ia
這    z it
這些	zh er s ie
這個	zh er g er
這個    z it l or
這個地步     an n e s enn
這時	zh er sh ii
這樣	zh er iang
這樣     an n e
這樣子     an n e s enn
這裡	zh er l i
這裡    z ia
這輩子    z it s i l ang
這邊	zh er b ien
這麼    z iah n i
這麼的    z iah n i  a
通	t ong
通    t ang
通    t ong
通常	t ong ch ang
通知	t ong zh ii
通訊	t ong s yun
通過	t ong g uo
逛	g uang
逝	sh ii
逞	ch ng
速	s u
速度	s u d u
造	z au
造型	z au s ing
造成	z au ch ng
造成    z or s ing
逡	c yun
逢	f ng
連	l ien
連    l en
連接	l ien z ie
連結	l ien z ie
連線	l ien s ien
連續	l ien s yu
連鎖	l ien s uo
逮	d ai
逯	l u
週	zh ou
進	z in
進    r ip
進    z in
進一步	z in i b u
進來	z in l ai
進來    r ip l ai
進入	z in rh u
進去	z in c yu
進去    r ip k i
進口	z in k ou
進度	z in d u
進步	z in b u
進步    z in b o
進而	z in err
進行	z in s ing
進行    z in h ing
逵	k uei
逶	uei
逸	i
逼	b i
逼    b ik
逾	yu
遁	d un
遂	s uei
遄	ch uan
遇	yu
遇    d u
遇上	yu sh ang
遇到	yu d au
遇到    d ng d iorh
遇見	yu z ien
遊	iou
遊     iu
遊客	iou k er
遊戲	iou s i
遊戲    s ng
遊玩    c it t or
遊行	iou s ing
運	yun
運作	yun z uo
運動	yun d ong
運動     un d ong
運動場     un d ong d iann
運動會     un d ong h ue
運用	yun iong
運行	yun s ing
運費	yun f ei
運輸	yun sh u
遍	b ien
過	g uo
過    g ue
過份    g ue h un
過來	g uo l ai
過來    g ue l ai
過去	g uo c yu
過去    g ue k i
過年	g uo n ien
過年    g ue n i
過度	g uo d u
過後	g uo h ou
過敏	g uo m in
過程	g uo ch ng
遏	er
遐	s ia
遑	h uang
遒	c iou
道	d au
道    d or
道具	d au z yu
道德	d au d er
道歉	d au c ien
道理	d au l i
道理    d or l i
道路	d au l u
達	d a
達到	d a d au
達成	d a ch ng
違	uei
違反	uei f an
遘	g ou
遙	iau
遛	l iou
遜	s yun
遝	t a
遞	d i
遠	yuan
遠    h ng
遠遠    h ng h ng
遠離	yuan l i
遢	t a
遣	c ien
遨	au
適	sh ii
適合	sh ii h er
適合    s ik h ap
適應	sh ii ing
適用	sh ii iong
適當	sh ii d ang
遭	z au
遭到	z au d au
遭遇	z au yu
遭遇    d u d iorh
遮	zh er
遲	ch ii
遴	l in
遵	z un
遵命    z un bh ing
遵守	z un sh ou
遶	rh au
遷	c ien
選	s yuan
選    g ing
選    s uan
選手	s yuan sh ou
選擇	s yuan z er
選舉	s yuan z yu
選舉    s uan g i
選項	s yuan s iang
遺	i
遺憾	i h an
遺憾     ui h am
遺產	i ch an
遼	l iau
遽	z yu
避	b i
避免	b i m ien
邀	iau
邀請	iau c ing
邁	m ai
邂	s ie
邃	s uei
還	h ai
還	h uan
還     iau
還     iau g orh
還    h ing
還好	h ai h au
還好    h or g a z ai
還是	h ai sh ii
還是     ia s i
還是     iah
還有	h ai iou
還有     iau  u
還沒	h uan m ei
還沒     iau bh ue
還要	h uan iau
邇	err
邈	m iau
邊	b ien
邊    b ing
邊    b inn
邋	l a
邏	l uo
邏輯	l uo z i
邐	l i
邑	i
邕	iong
邗	h an
邙	m ang
邛	c iong
邠	b in
邡	f ang
邢	s ing
那	n a
那    h e
那    h ia
那    h it
那些	n a s ie
那些    h ia  e
那個	n a g er
那個    h it l or
那天	n a t ien
那時	n a sh ii
那時    h it s i
那時    h it z un
那時候    h it d ang z un
那時候    h it s i z un
那樣	n a iang
那裡	n a l i
那裡    h ia
那麼	n a m er
那麼	n a m uo
那麼    h iah
那麼    h iah n i
那麼    h iah n i  a
邦	b ang
邪	s ie
邯	h an
邰	t ai
邱	c iou
邳	p ei
邵	sh au
邸	d i
邾	zh u
郁	yu
郅	zh ii
郇	s yun
郊	z iau
郎	l ang
郛	f u
郜	g au
郝	h au
郟	z ia
郡	z yun
郢	ing
郤	s i
部	b u
部    b o
部份	b u f ern
部位	b u uei
部分	b u f ern
部落	b u l uo
部長	b u zh ang
部門	b u m ern
部隊	b u d uei
郫	p i
郭	g uo
郯	t an
郴	ch ern
郵	iou
郵件	iou z ien
都	d ou
都	d u
都    d or
都    l ong
都市	d u sh ii
都市    d o c i
都市    s iann c i
都會	d u h uei
郾	ien
鄂	er
鄄	z yuan
鄆	yun
鄉	s iang
鄉    h iong
鄉下    c au d e
鄉下    z ng k a
鄉親    h iong c in
鄐	ch u
鄒	z ou
鄔	u
鄖	yun
鄙	b i
鄜	f u
鄞	in
鄢	ien
鄣	zh ang
鄧	d ng
鄭	zh ng
鄭    d enn
鄯	sh an
鄰	l in
鄰居    c u b inn
鄰居    g eh b iah
鄰近	l in z in
鄱	p uo
鄲	d an
鄴	ie
鄺	g uang
鄺	k uang
酃	l ing
酆	f ng
酈	l i
酉	iou
酊	d ing
酋	c iou
酌	zh uo
配	p ei
配    p ue
配件	p ei z ien
配備	p ei b ei
配合	p ei h er
配置	p ei zh ii
酎	zh ou
酐	g an
酒	z iou
酒    s ior z iu
酒    z iu
酒吧	z iou b a
酒店	z iou d ien
酗	s yu
酚	f ern
酡	t uo
酣	h an
酥	s u
酩	m ing
酪	l uo
酬	ch ou
酮	t ong
酯	zh ii
酲	ch ng
酵	s iau
酷	k u
酸	s uan
酸    s ng
醃	ien
醅	p ei
醇	ch un
醉	z uei
醉    z ui
醋	c u
醋    c o
醍	t i
醐	h u
醒	s ing
醒    c enn
醚	m i
醛	c yuan
醜	ch ou
醜    bh ai
醞	yun
醣	t ang
醪	l au
醫	i
醫學	i s yue
醫師	i sh ii
醫師     i s ing
醫師     i s u
醫生	i sh ng
醫生     i s ing
醫生    s en s inn
醫生太太    s en s inn n iu
醫療	i l iau
醫院	i yuan
醫院    b enn  inn
醬	z iang
醮	z iau
醯	s i
醱	p uo
醴	l i
醺	s yun
釀	n iang
釁	s in
釅	ien
采	c ai
釉	iou
釋	sh ii
釋放	sh ii f ang
釋迦    s ik k ia
里	l i
里    l i
重	ch ong
重	zh ong
重    d ang
重大	zh ong d a
重建	ch ong z ien
重新	ch ong s in
重新    g orh z ai
重複	ch ong f u
重要	zh ong iau
重要     iau g in
重要    d iong  iau
重視	zh ong sh ii
重量	zh ong l iang
重點	zh ong d ien
野	ie
野     ia
野狼     ia l ong
量	l iang
釐	l i
金	z in
金    g im
金剛	z in g ang
金剛    g im g ong
金屬	z in sh u
金融	z in rh ong
金錢	z in c ien
金門    g im m ng
金額	z in er
釔	i
釗	zh au
釘	d ing
釘    d ing
釜	f u
針	zh ern
針    z iam
針對	zh ern d uei
釣	d iau
釦	k ou
釧	ch uan
釩	f an
釵	ch ai
釷	t u
釹	n yu
鈀	b a
鈀	p a
鈉	n a
鈍	d un
鈐	c ien
鈔	ch au
鈕	n iou
鈞	z yun
鈣	g ai
鈦	t ai
鈮	n i
鈰	sh ii
鈴	l ing
鈷	g u
鈸	b a
鈹	p i
鈺	yu
鈽	b u
鈾	iou
鈿	d ien
鉀	z ia
鉅	z yu
鉈	t a
鉉	s uan
鉋	b au
鉍	b i
鉑	b uo
鉗	c ien
鉚	l iou
鉚	m au
鉛	c ien
鉛筆     en b it
鉞	yue
鉤	g ou
鉦	zh ng
鉬	m u
鉭	t an
鉸	z iau
鉸    g a
鉺	err
鉻	g er
銀	in
銀    gh in
銀行	in h ang
銀行    gh in h ang
銃	ch ong
銅	t ong
銑	s ien
銓	c yuan
銖	zh u
銘	m ing
銚	d iau
銜	s ien
銠	l au
銣	rh u
銥	i
銦	in
銨	an
銫	s er
銬	k au
銲	h an
銳	rh uei
銷	s iau
銷售	s iau sh ou
銻	t i
銼	c uo
鋁	l yu
鋃	l ang
鋅	s in
鋇	b ei
鋌	d ing
鋌	t ing
鋐	h ong
鋒	f ng
鋤	ch u
鋦	z yu
鋨	er
鋪	p u
鋪    p o
鋮	ch ng
鋯	g au
鋰	l i
鋸	z yu
鋸    g i
鋼	g ang
鋼琴	g ang c in
錄	l u
錄音	l u in
錏	ia
錐	zh uei
錒	a
錕	k un
錘	ch uei
錙	z ii
錚	zh ng
錠	d ing
錡	c i
錢	c ien
錢    z inn
錦	z in
錨	m au
錩	ch ang
錫	s i
錮	g u
錯	c uo
錯誤	c uo u
錯過	c uo g uo
錳	m ng
錶	b iau
錸	l ai
鍇	k ai
鍊	l ien
鍋	g uo
鍋    d iann
鍍	d u
鍔	er
鍘	zh a
鍚	s i
鍛	d uan
鍥	c ie
鍬	c iau
鍰	h uan
鍵	z ien
鍵盤	z ien p an
鍶	s ii
鍺	zh er
鍼	zh ern
鍾	zh ong
鎂	m ei
鎊	b ang
鎏	l iou
鎔	rh ong
鎖	s uo
鎖    s or
鎗	c iang
鎘	g er
鎚	ch uei
鎢	u
鎦	l iou
鎧	k ai
鎩	sh a
鎬	h au
鎮	zh ern
鎰	i
鎳	n ie
鎵	z ia
鏃	z u
鏇	s yuan
鏈	l ien
鏊	au
鏍	l uo
鏑	d i
鏖	au
鏗	k ng
鏘	c iang
鏜	t ang
鏝	m an
鏞	iong
鏟	ch an
鏡	z ing
鏡    g iann
鏡頭	z ing t ou
鏢	b iau
鏤	l ou
鏨	z an
鏵	h ua
鏹	c iang
鏽	s iou
鐃	n au
鐐	l iau
鐓	d un
鐘	zh ong
鐘    s i z ing
鐙	d ng
鐫	z yuan
鐮	l ien
鐲	zh uo
鐳	l ei
鐵	t ie
鐵路	t ie l u
鐵路    t ih l o
鐶	h uan
鐸	d uo
鐺	d ang
鑄	zh u
鑊	h uo
鑌	b in
鑑	z ien
鑒	z ien
鑠	sh uo
鑣	b iau
鑫	s in
鑭	l an
鑰	iau
鑰匙    s or s i
鑲	s iang
鑷	n ie
鑼	l uo
鑼    l or
鑽	z uan
鑽    n ng
鑽石	z uan sh ii
鑾	l uan
鑿	z uo
钁	z yue
長	ch ang
長    d ng
長大	zh ang d a
長大    d ua h an
長得    s enn z or
長期	ch ang c i
長輩    s i d ua
長輩    s i d ua l ang
長頸鹿    d ng  am l ok
門	m ern
門    m ng
門口	m ern k ou
門口    m ng k a k au
門庭    m ng k au d iann
門票	m ern p iau
閂	sh uan
閃	sh an
閃    s iam
閃爍    s iam s ih
閃閃爍爍    s iam s iam s ih s ih
閆	ien
閉	b i
開	k ai
開    k ai
開    k ui
開    s ai
開口	k ai k ou
開口    k ui c ui
開啟	k ai c i
開始	k ai sh ii
開始    k ai s i
開始    k i
開幕	k ai m u
開心	k ai s in
開心    s im s ik
開放	k ai f ang
開機	k ai z i
開水    g un z ui
開發	k ai f a
開花    k ui h ue
開車	k ai ch er
開車    s ai c ia
開門    k ui m ng
閎	h ong
閏	rh un
閑	s ien
閒	s ien
間	z ien
間    g an
間    g ing
閔	m in
閘	zh a
閞	b ien
閡	h er
閣	g er
閣下	g er s ia
閥	f a
閨	g uei
閩	m in
閩南語    bh an l am gh i
閬	l ang
閭	l yu
閰	ien
閱	yue
閱讀	yue d u
閶	ch ang
閹	ien
閻	ien
閼	er
閾	yu
闃	c yu
闆	b an
闈	uei
闊	k uo
闊    k uah
闋	c yue
闌	l an
闍	sh er
闐	t ien
闓	k ai
闔	h er
闕	c yue
闖	ch uang
闖    c uang
關	g uan
關    g uainn
關    g uan
關係	g uan s i
關係    g uan h e
關心	g uan s in
關心    g uan s im
關懷	g uan h uai
關懷    g uan h uai
關於	g uan yu
關注	g uan zh u
關鍵	g uan z ien
關閉	g uan b i
闞	h an
闞	k an
闡	ch an
闢	p i
闥	t a
阜	f u
阡	c ien
阪	b an
阮	rh uan
阱	z ing
防	f ang
防止	f ang zh ii
防水	f ang sh uei
阻	z u
阻止	z u zh ii
阼	z uo
阿	a
阿	er
阿姨	a i
阿姨     a  i
阿婆     a b or  a
阿里山     a l i s an
陀	t uo
陀螺    g an l ok
陂	p i
附	f u
附近	f u z in
附近    d au
附近    h u g in
附近    s in k u b inn
陋	l ou
陌	m uo
陌生	m uo sh ng
陌生    s enn h un
降	z iang
降低	z iang d i
限	s ien
限制	s ien zh ii
限量	s ien l iang
陔	g ai
陘	s ing
陛	b i
陛下    b e h a
陝	sh an
陟	zh ii
陡	d ou
院	yuan
院     inn
院長	yuan zh ang
陣	zh ern
陣    d in
陣    z un
陣子	zh ern z ii
陣子    z am
除	ch u
除了	ch u l er
除了    d u l iau
除非	ch u f ei
陪	p ei
陪    b ue
陪伴	p ei b an
陰	in
陰     o  im
陲	ch uei
陳	ch ern
陳    d an
陳水扁	ch ern sh uei b ien
陵	l ing
陶	t au
陷	s ien
陷入	s ien rh u
陸	l u
陸續	l u s yu
陽	iang
陽光	iang g uang
陽光    r it t au g ng
隄	t i
隅	yu
隆	l ong
隈	uei
隊	d uei
隊    d ui
隊伍	d uei u
隋	s uei
隍	h uang
階	z ie
階段	z ie d uan
隔	g er
隔天	g er t ien
隕	yun
隗	uei
隘	ai
隙	s i
際	z i
障	zh ang
障礙	zh ang ai
隤	t uei
隧	s uei
隧道	s uei d au
隧道    b ong k ang
隨	s uei
隨    d ue
隨    s ui
隨便	s uei b ien
隨便     o b eh
隨便    c in c ai
隨便    g e g iam
隨後	s uei h ou
隨意	s uei i
隨時	s uei sh ii
隨時    b ut s i
隨著	s uei zh er
隨身	s uei sh ern
險	s ien
隰	s i
隱	in
隱藏	in c ang
隴	l ong
隸	l i
隹	zh uei
隻	zh ii
隻    z iah
隼	zh un
雀	c yue
雁	ien
雄	s iong
雄    h iong
雅	ia
集	z i
集中	z i zh ong
集合	z i h er
集團	z i t uan
集體	z i t i
雇	g u
雉	zh ii
雋	z yuan
雋	z yun
雌	c ii
雍	iong
雎	z yu
雒	l uo
雕	d iau
雖	s uei
雖然	s uei rh an
雖然    s ui r en
雙	sh uang
雙    s iang
雙手    s iang c iu
雙方	sh uang f ang
雛	ch u
雜	z a
雜    h ue
雜誌	z a zh ii
雜貨店    g am  a d iam
雞	z i
雞    g e
離	l i
離    l i
離婚	l i h un
離開	l i k ai
離開    l ai k i
離開    l i k ui
難	n an
難    l an
難以	n an i
難度	n an d u
難得	n an d er
難得    h an d it
難怪	n an g uai
難怪    bh ok g uai
難看    p ainn k uann
難過	n an g uo
難過     m g am
難過    g an k o
難道	n an d au
難道    g am
難道    g am g ong
雨	yu
雨     u
雨    h o
雨傘    h o s uann
雨水    h o z ui
雩	yu
雪	s yue
雪    s eh
雯	un
雲	yun
雲    h un
雲南    h un l am
零	l ing
零    l ing
零件	l ing z ien
零食    s i s iu  a
雷	l ei
雷    l ui g ong
雷射	l ei sh er
雹	b au
電	d ien
電    d en
電信	d ien s in
電力	d ien l i
電動	d ien d ong
電台	d ien t ai
電台    d en d ai
電子	d ien z ii
電影	d ien ing
電影    d en  iann
電梯	d ien t i
電池	d ien ch ii
電池    d en d i
電源	d ien yuan
電燈    d en h ue
電腦	d ien n au
電腦    d en n au
電視	d ien sh ii
電視    d en s i
電視劇	d ien sh ii z yu
電視台	d ien sh ii t ai
電話	d ien h ua
電話    d en  ue
電鍋    d en g or
需	s yu
需求	s yu c iou
需要	s yu iau
需要    s u  iau
霄	s iau
霆	t ing
震	zh ern
震撼	zh ern h an
霈	p ei
霉	m ei
霍	h uo
霎	sh a
霏	f ei
霑	zh an
霓	n i
霖	l in
霜	sh uang
霞	s ia
霧	u
霧    bh u
霰	s ien
露	l u
露出	l ou ch u
霸	b a
霹	p i
霽	z i
霾	m ai
靂	l i
靄	ai
靈	l ing
靈魂	l ing h un
靉	ai
青	c ing
青    c enn
青少年	c ing sh au n ien
青少年    s iau l en
青年	c ing n ien
青春	c ing ch un
青春    c ing c un
青草    c enn c au
青蛙    z ui g e
靖	z ing
靚	z ing
靛	d ien
靜	z ing
靜    d iam
靜靜的    d iam d iam  a
非	f ei
非常	f ei ch ang
非常     iau s iu
非常     u g au
非常    b ut z i  a
非常    h ui s iong
非常    s iong g ai
非常    z iann
非法	f ei f a
非洲	f ei zh ou
靠	k au
靠     ua
靠    k or
靠近	k au z in
靡	m i
面	m ien
面    bh in
面前	m ien c ien
面前    bh in t au z ing
面子    bh in z u
面對	m ien d uei
面對     ng
面對    bh in d ui
面積	m ien z i
面臨	m ien l in
面試	m ien sh ii
靦	t ien
靨	ie
革	g er
革命	g er m ing
靳	z in
靴	s yue
靶	b a
靼	d a
鞅	iang
鞋	s ie
鞋     e
鞍	an
鞏	g ong
鞘	c iau
鞞	b ing
鞠	z yu
鞣	rh ou
鞦	c iou
鞭	b ien
鞭炮    p au  a
韁	z iang
韃	d a
韆	c ien
韋	uei
韌	rh ern
韓	h an
韓國	h an g uo
韙	uei
韜	t au
韞	yun
韭	z iou
音	in
音     im
音樂	in yue
音樂     im gh ak
音樂會	in yue h uei
韶	sh au
韻	yun
響	s iang
響    d an
響    h iang
響    l iang
頁	ie
頂	d ing
頂    d ing
頂級	d ing z i
頃	c ing
項	s iang
項    h ang
項目	s iang m u
順	sh un
順    s un
順便	sh un b ien
順便    s un s ua
順利	sh un l i
順利    h or s e
順利    s un l i
順利    s un s i
順序	sh un s yu
順風耳    s un h ong n i
頇	h an
須	s yu
頊	s yu
頌	s ong
頎	c i
預	yu
預定	yu d ing
預期	yu c i
預測	yu c er
預算	yu s uan
預約	yu yue
預訂	yu d ing
預計	yu z i
預防	yu f ang
頑	uan
頒	b an
頓	d un
頓    d ng
頗	p uo
領	l ing
領    n ia
領域	l ing yu
領導	l ing d au
領帶	n e k u d ai
領袖	l ing s iou
頜	g er
頡	s ie
頡	z ie
頤	i
頦	h ai
頫	f u
頭	t ou
頭    t au
頭髮	t ou f a
頭髮    t au m ng
頭髮    t au z ang
頰	z ia
頷	h an
頸	z ing
頹	t uei
頻	p in
頻道	p in d au
顆	k er
題	t i
題材	t i c ai
題目	t i m u
額	er
額外	er uai
顎	er
顏	ien
顏色	ien s er
顏色    s ik z ui
顒	iong
顓	zh uan
顗	i
願	yuan
願    gh uan
願意	yuan i
願意    gh uan  i
願望	yuan uang
願望    s im gh uan
顙	s ang
顛	d ien
類	l ei
類似	l ei s ii
類別	l ei b ie
類型	l ei s ing
顢	m an
顥	h au
顧	g u
顧    g o
顧問	g u un
顧客	g u k er
顧客    l ang k eh
顫	zh an
顯	s ien
顯得	s ien d er
顯然	s ien rh an
顯示	s ien sh ii
顰	p in
顱	l u
顳	n ie
顴	c yuan
風	f ng
風    h ong
風味	f ng uei
風情	f ng c ing
風景	f ng z ing
風景    g ing d i
風景    g ong g ing
風景    h ong g ing
風暴	f ng b au
風格	f ng g er
風水	f ng sh uei
風箏    h ong c ue
風險	f ng s ien
風雨    h ong  u
颮	b iau
颯	s a
颱	t ai
颱風	t ai f ng
颱風    h ong t ai
颳	g ua
颶	z yu
颺	iang
颻	iau
颼	s ou
飄	p iau
飆	b iau
飛	f ei
飛    b ue
飛機	f ei z i
飛機    h ue l ing g i
飛行	f ei s ing
食	sh ii
食品	sh ii p in
食材	sh ii c ai
食物	sh ii u
食用	sh ii iong
食譜	sh ii p u
飢	z i
飩	t un
飪	rh ern
飭	ch ii
飯	f an
飯    b ng
飯店	f an d ien
飯桶    b ng t ang
飲	in
飲料	in l iau
飲食	in sh ii
飴	i
飼	s ii
飽	b au
飽    b a
飾	sh ii
飾演	sh ii ien
餃	z iau
